cell,cell_id,cell_types
singles-BM0106-UNK-160418-93,cell_1895,UNK
singles-BM0106-UNK-160418-94,cell_1896,UNK
singles-BM0106-UNK-160418-95,cell_1897,UNK
singles-BM0106-UNK-160418-96,cell_1898,UNK
singles-BM0828-MEP-160420-1,cell_1899,MEP
singles-BM0828-MEP-160420-2,cell_1900,MEP
singles-BM0828-MEP-160420-3,cell_1901,MEP
singles-BM0828-MEP-160420-4,cell_1902,MEP
singles-BM0828-MEP-160420-5,cell_1903,MEP
singles-BM0828-MEP-160420-6,cell_1904,MEP
singles-BM0828-MEP-160420-7,cell_1905,MEP
singles-BM0828-MEP-160420-8,cell_1906,MEP
singles-BM0828-MEP-160420-9,cell_1907,MEP
singles-BM0828-MEP-160420-10,cell_1908,MEP
singles-BM0828-MEP-160420-11,cell_1909,MEP
singles-BM0828-MEP-160420-12,cell_1910,MEP
singles-BM0828-MEP-160420-13,cell_1911,MEP
singles-BM0828-MEP-160420-14,cell_1912,MEP
singles-BM0828-MEP-160420-15,cell_1913,MEP
singles-BM0828-MEP-160420-16,cell_1914,MEP
singles-BM0828-MEP-160420-17,cell_1915,MEP
singles-BM0828-MEP-160420-18,cell_1916,MEP
singles-BM0828-MEP-160420-19,cell_1917,MEP
singles-BM0828-MEP-160420-20,cell_1918,MEP
singles-BM0828-MEP-160420-21,cell_1919,MEP
singles-BM0828-MEP-160420-22,cell_1920,MEP
singles-BM0828-MEP-160420-23,cell_1921,MEP
singles-BM0828-MEP-160420-24,cell_1922,MEP
singles-BM0828-MEP-160420-25,cell_1923,MEP
singles-BM0828-MEP-160420-26,cell_1924,MEP
singles-BM0828-MEP-160420-27,cell_1925,MEP
singles-BM0828-MEP-160420-28,cell_1926,MEP
singles-BM0828-MEP-160420-29,cell_1927,MEP
singles-BM0828-MEP-160420-30,cell_1928,MEP
singles-BM0828-MEP-160420-31,cell_1929,MEP
singles-BM0828-MEP-160420-32,cell_1930,MEP
singles-BM0828-MEP-160420-33,cell_1931,MEP
singles-BM0828-MEP-160420-34,cell_1932,MEP
singles-BM0828-MEP-160420-35,cell_1933,MEP
singles-BM0828-MEP-160420-36,cell_1934,MEP
singles-BM0828-MEP-160420-37,cell_1935,MEP
singles-BM0828-MEP-160420-38,cell_1936,MEP
singles-BM0828-MEP-160420-39,cell_1937,MEP
singles-BM0828-MEP-160420-40,cell_1938,MEP
singles-BM0828-MEP-160420-41,cell_1939,MEP
singles-BM0828-MEP-160420-42,cell_1940,MEP
singles-BM0828-MEP-160420-43,cell_1941,MEP
singles-BM0828-MEP-160420-44,cell_1942,MEP
singles-BM0828-MEP-160420-45,cell_1943,MEP
singles-BM0828-MEP-160420-46,cell_1944,MEP
singles-BM0828-MEP-160420-47,cell_1945,MEP
singles-BM0828-MEP-160420-48,cell_1946,MEP
singles-BM0828-MEP-160420-49,cell_1947,MEP
singles-BM0828-MEP-160420-50,cell_1948,MEP
singles-BM0828-MEP-160420-51,cell_1949,MEP
singles-BM0828-MEP-160420-52,cell_1950,MEP
singles-BM0828-MEP-160420-53,cell_1951,MEP
singles-BM0828-MEP-160420-54,cell_1952,MEP
singles-BM0828-MEP-160420-55,cell_1953,MEP
singles-BM0828-MEP-160420-56,cell_1954,MEP
singles-BM0828-MEP-160420-57,cell_1955,MEP
singles-BM0828-MEP-160420-58,cell_1956,MEP
singles-BM0828-MEP-160420-59,cell_1957,MEP
singles-BM0828-MEP-160420-60,cell_1958,MEP
singles-BM0828-MEP-160420-61,cell_1959,MEP
singles-BM0828-MEP-160420-62,cell_1960,MEP
singles-BM0828-MEP-160420-63,cell_1961,MEP
singles-BM0828-MEP-160420-64,cell_1962,MEP
singles-BM0828-MEP-160420-65,cell_1963,MEP
singles-BM0828-MEP-160420-66,cell_1964,MEP
singles-BM0828-MEP-160420-67,cell_1965,MEP
singles-BM0828-MEP-160420-68,cell_1966,MEP
singles-BM0828-MEP-160420-69,cell_1967,MEP
singles-BM0828-MEP-160420-70,cell_1968,MEP
singles-BM0828-MEP-160420-71,cell_1969,MEP
singles-BM0828-MEP-160420-72,cell_1970,MEP
singles-BM0828-MEP-160420-73,cell_1971,MEP
singles-BM0828-MEP-160420-74,cell_1972,MEP
singles-BM0828-MEP-160420-75,cell_1973,MEP
singles-BM0828-MEP-160420-76,cell_1974,MEP
singles-BM0828-MEP-160420-77,cell_1975,MEP
singles-BM0828-MEP-160420-78,cell_1976,MEP
singles-BM0828-MEP-160420-79,cell_1977,MEP
singles-BM0828-MEP-160420-80,cell_1978,MEP
singles-BM0828-MEP-160420-81,cell_1979,MEP
singles-BM0828-MEP-160420-82,cell_1980,MEP
singles-BM0828-MEP-160420-83,cell_1981,MEP
singles-BM0828-MEP-160420-84,cell_1982,MEP
singles-BM0828-MEP-160420-85,cell_1983,MEP
singles-BM0828-MEP-160420-86,cell_1984,MEP
singles-BM0828-MEP-160420-87,cell_1985,MEP
singles-BM0828-MEP-160420-88,cell_1986,MEP
singles-BM0828-MEP-160420-89,cell_1987,MEP
singles-BM0828-MEP-160420-90,cell_1988,MEP
singles-BM0828-MEP-160420-91,cell_1989,MEP
singles-BM0828-MEP-160420-92,cell_1990,MEP
singles-BM0828-MEP-160420-93,cell_1991,MEP
singles-BM0828-MEP-160420-94,cell_1992,MEP
singles-BM0828-MEP-160420-95,cell_1993,MEP
singles-BM0828-MEP-160420-96,cell_1994,MEP
singles-BM1214-GMP-160421-1,cell_1995,GMP
singles-BM1214-GMP-160421-2,cell_1996,GMP
singles-BM1214-GMP-160421-3,cell_1997,GMP
singles-BM1214-GMP-160421-4,cell_1998,GMP
singles-BM1214-GMP-160421-5,cell_1999,GMP
singles-BM1214-GMP-160421-6,cell_2000,GMP
singles-BM1214-GMP-160421-7,cell_2001,GMP
singles-BM1214-GMP-160421-8,cell_2002,GMP
singles-BM1214-GMP-160421-9,cell_2003,GMP
singles-BM1214-GMP-160421-10,cell_2004,GMP
singles-BM1214-GMP-160421-11,cell_2005,GMP
singles-BM1214-GMP-160421-12,cell_2006,GMP
singles-BM1214-GMP-160421-13,cell_2007,GMP
singles-BM1214-GMP-160421-14,cell_2008,GMP
singles-BM1214-GMP-160421-15,cell_2009,GMP
singles-BM1214-GMP-160421-16,cell_2010,GMP
singles-BM1214-GMP-160421-17,cell_2011,GMP
singles-BM1214-GMP-160421-18,cell_2012,GMP
singles-BM1214-GMP-160421-19,cell_2013,GMP
singles-BM1214-GMP-160421-20,cell_2014,GMP
singles-BM1214-GMP-160421-21,cell_2015,GMP
singles-BM1214-GMP-160421-22,cell_2016,GMP
singles-BM1214-GMP-160421-23,cell_2017,GMP
singles-BM1214-GMP-160421-24,cell_2018,GMP
singles-BM1214-GMP-160421-25,cell_2019,GMP
singles-BM1214-GMP-160421-26,cell_2020,GMP
singles-BM1214-GMP-160421-27,cell_2021,GMP
singles-BM1214-GMP-160421-28,cell_2022,GMP
singles-BM1214-GMP-160421-29,cell_2023,GMP
singles-BM1214-GMP-160421-30,cell_2024,GMP
singles-BM1214-GMP-160421-31,cell_2025,GMP
singles-BM1214-GMP-160421-32,cell_2026,GMP
singles-BM1214-GMP-160421-33,cell_2027,GMP
singles-BM1214-GMP-160421-34,cell_2028,GMP
singles-BM1214-GMP-160421-35,cell_2029,GMP
singles-BM1214-GMP-160421-36,cell_2030,GMP
singles-BM1214-GMP-160421-37,cell_2031,GMP
singles-BM1214-GMP-160421-38,cell_2032,GMP
singles-BM1214-GMP-160421-39,cell_2033,GMP
singles-BM1214-GMP-160421-40,cell_2034,GMP
singles-BM1214-GMP-160421-41,cell_2035,GMP
singles-BM1214-GMP-160421-42,cell_2036,GMP
singles-BM1214-GMP-160421-43,cell_2037,GMP
singles-BM1214-GMP-160421-44,cell_2038,GMP
singles-BM1214-GMP-160421-45,cell_2039,GMP
singles-BM1214-GMP-160421-46,cell_2040,GMP
singles-BM1214-GMP-160421-47,cell_2041,GMP
singles-BM1214-GMP-160421-48,cell_2042,GMP
singles-BM1214-GMP-160421-49,cell_2043,GMP
singles-BM1214-GMP-160421-50,cell_2044,GMP
singles-BM1214-GMP-160421-51,cell_2045,GMP
singles-BM1214-GMP-160421-52,cell_2046,GMP
singles-BM1214-GMP-160421-53,cell_2047,GMP
singles-BM1214-GMP-160421-54,cell_2048,GMP
singles-BM1214-GMP-160421-55,cell_2049,GMP
singles-BM1214-GMP-160421-56,cell_2050,GMP
singles-BM1214-GMP-160421-57,cell_2051,GMP
singles-BM1214-GMP-160421-58,cell_2052,GMP
singles-BM1214-GMP-160421-59,cell_2053,GMP
singles-BM1214-GMP-160421-60,cell_2054,GMP
singles-BM1214-GMP-160421-61,cell_2055,GMP
singles-BM1214-GMP-160421-62,cell_2056,GMP
singles-BM1214-GMP-160421-63,cell_2057,GMP
singles-BM1214-GMP-160421-64,cell_2058,GMP
singles-BM1214-GMP-160421-65,cell_2059,GMP
singles-BM1214-GMP-160421-66,cell_2060,GMP
singles-BM1214-GMP-160421-67,cell_2061,GMP
singles-BM1214-GMP-160421-68,cell_2062,GMP
singles-BM1214-GMP-160421-69,cell_2063,GMP
singles-BM1214-GMP-160421-70,cell_2064,GMP
singles-BM1214-GMP-160421-71,cell_2065,GMP
singles-BM1214-GMP-160421-72,cell_2066,GMP
singles-BM1214-GMP-160421-73,cell_2067,GMP
singles-BM1214-GMP-160421-74,cell_2068,GMP
singles-BM1214-GMP-160421-75,cell_2069,GMP
singles-BM1214-GMP-160421-76,cell_2070,GMP
singles-BM1214-GMP-160421-77,cell_2071,GMP
singles-BM1214-GMP-160421-78,cell_2072,GMP
singles-BM1214-GMP-160421-79,cell_2073,GMP
singles-BM1214-GMP-160421-80,cell_2074,GMP
singles-BM1214-GMP-160421-81,cell_2075,GMP
singles-BM1214-GMP-160421-82,cell_2076,GMP
singles-BM1214-GMP-160421-83,cell_2077,GMP
singles-BM1214-GMP-160421-84,cell_2078,GMP
singles-BM1214-GMP-160421-85,cell_2079,GMP
singles-BM1214-GMP-160421-86,cell_2080,GMP
singles-BM1214-GMP-160421-87,cell_2081,GMP
singles-BM1214-GMP-160421-88,cell_2082,GMP
singles-BM1214-GMP-160421-89,cell_2083,GMP
singles-BM1214-GMP-160421-90,cell_2084,GMP
singles-BM1214-GMP-160421-91,cell_2085,GMP
singles-BM1214-GMP-160421-92,cell_2086,GMP
singles-BM1214-GMP-160421-93,cell_2087,GMP
singles-BM1214-GMP-160421-94,cell_2088,GMP
singles-BM1214-GMP-160421-95,cell_2089,GMP
singles-BM1214-GMP-160421-96,cell_2090,GMP
singles-20160617-scATAC-BM1077-CMP-HYC-1,cell_2091,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-2,cell_2092,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-3,cell_2093,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-4,cell_2094,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-5,cell_2095,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-6,cell_2096,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-7,cell_2097,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-8,cell_2098,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-9,cell_2099,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-10,cell_2100,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-11,cell_2101,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-12,cell_2102,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-13,cell_2103,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-14,cell_2104,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-15,cell_2105,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-16,cell_2106,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-17,cell_2107,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-18,cell_2108,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-19,cell_2109,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-20,cell_2110,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-21,cell_2111,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-22,cell_2112,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-23,cell_2113,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-24,cell_2114,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-25,cell_2115,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-26,cell_2116,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-27,cell_2117,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-28,cell_2118,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-29,cell_2119,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-30,cell_2120,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-31,cell_2121,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-32,cell_2122,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-33,cell_2123,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-34,cell_2124,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-35,cell_2125,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-36,cell_2126,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-37,cell_2127,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-38,cell_2128,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-39,cell_2129,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-40,cell_2130,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-41,cell_2131,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-42,cell_2132,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-43,cell_2133,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-44,cell_2134,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-45,cell_2135,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-46,cell_2136,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-47,cell_2137,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-48,cell_2138,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-49,cell_2139,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-50,cell_2140,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-51,cell_2141,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-52,cell_2142,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-53,cell_2143,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-54,cell_2144,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-55,cell_2145,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-56,cell_2146,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-57,cell_2147,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-58,cell_2148,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-59,cell_2149,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-60,cell_2150,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-61,cell_2151,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-62,cell_2152,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-63,cell_2153,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-64,cell_2154,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-65,cell_2155,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-66,cell_2156,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-67,cell_2157,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-68,cell_2158,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-69,cell_2159,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-70,cell_2160,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-71,cell_2161,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-72,cell_2162,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-73,cell_2163,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-74,cell_2164,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-75,cell_2165,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-76,cell_2166,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-77,cell_2167,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-78,cell_2168,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-79,cell_2169,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-80,cell_2170,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-81,cell_2171,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-82,cell_2172,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-83,cell_2173,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-84,cell_2174,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-85,cell_2175,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-86,cell_2176,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-87,cell_2177,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-88,cell_2178,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-89,cell_2179,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-90,cell_2180,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-91,cell_2181,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-92,cell_2182,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-93,cell_2183,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-94,cell_2184,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-95,cell_2185,CMP
singles-20160617-scATAC-BM1077-CMP-HYC-96,cell_2186,CMP
singles-20160726-scATAC-BM1137-GMP3high-HYC-1,cell_2187,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-2,cell_2188,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-3,cell_2189,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-4,cell_2190,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-5,cell_2191,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-6,cell_2192,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-7,cell_2193,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-8,cell_2194,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-9,cell_2195,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-10,cell_2196,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-11,cell_2197,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-12,cell_2198,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-13,cell_2199,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-14,cell_2200,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-15,cell_2201,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-16,cell_2202,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-17,cell_2203,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-18,cell_2204,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-19,cell_2205,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-20,cell_2206,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-21,cell_2207,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-22,cell_2208,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-23,cell_2209,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-24,cell_2210,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-25,cell_2211,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-26,cell_2212,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-27,cell_2213,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-28,cell_2214,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-29,cell_2215,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-30,cell_2216,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-31,cell_2217,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-32,cell_2218,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-33,cell_2219,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-34,cell_2220,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-35,cell_2221,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-36,cell_2222,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-37,cell_2223,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-38,cell_2224,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-39,cell_2225,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-40,cell_2226,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-41,cell_2227,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-42,cell_2228,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-43,cell_2229,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-44,cell_2230,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-45,cell_2231,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-46,cell_2232,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-47,cell_2233,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-48,cell_2234,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-49,cell_2235,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-50,cell_2236,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-51,cell_2237,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-52,cell_2238,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-53,cell_2239,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-54,cell_2240,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-55,cell_2241,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-56,cell_2242,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-57,cell_2243,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-58,cell_2244,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-59,cell_2245,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-60,cell_2246,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-61,cell_2247,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-62,cell_2248,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-63,cell_2249,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-64,cell_2250,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-65,cell_2251,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-66,cell_2252,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-67,cell_2253,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-68,cell_2254,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-69,cell_2255,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-70,cell_2256,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-71,cell_2257,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-72,cell_2258,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-73,cell_2259,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-74,cell_2260,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-75,cell_2261,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-76,cell_2262,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-77,cell_2263,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-78,cell_2264,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-79,cell_2265,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-80,cell_2266,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-81,cell_2267,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-82,cell_2268,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-83,cell_2269,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-84,cell_2270,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-85,cell_2271,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-86,cell_2272,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-87,cell_2273,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-88,cell_2274,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-89,cell_2275,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-90,cell_2276,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-91,cell_2277,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-92,cell_2278,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-93,cell_2279,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-94,cell_2280,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-95,cell_2281,GMP-3
singles-20160726-scATAC-BM1137-GMP3high-HYC-96,cell_2282,GMP-3
singles-20160617-scATAC-BM1214-CMP-LS-1,cell_2283,CMP
singles-20160617-scATAC-BM1214-CMP-LS-2,cell_2284,CMP
singles-20160617-scATAC-BM1214-CMP-LS-3,cell_2285,CMP
singles-20160617-scATAC-BM1214-CMP-LS-4,cell_2286,CMP
singles-20160617-scATAC-BM1214-CMP-LS-5,cell_2287,CMP
singles-20160617-scATAC-BM1214-CMP-LS-6,cell_2288,CMP
singles-20160617-scATAC-BM1214-CMP-LS-7,cell_2289,CMP
singles-20160617-scATAC-BM1214-CMP-LS-8,cell_2290,CMP
singles-20160617-scATAC-BM1214-CMP-LS-9,cell_2291,CMP
singles-20160617-scATAC-BM1214-CMP-LS-10,cell_2292,CMP
singles-20160617-scATAC-BM1214-CMP-LS-11,cell_2293,CMP
singles-20160617-scATAC-BM1214-CMP-LS-12,cell_2294,CMP
singles-20160617-scATAC-BM1214-CMP-LS-13,cell_2295,CMP
singles-20160617-scATAC-BM1214-CMP-LS-14,cell_2296,CMP
singles-20160617-scATAC-BM1214-CMP-LS-15,cell_2297,CMP
singles-20160617-scATAC-BM1214-CMP-LS-16,cell_2298,CMP
singles-20160617-scATAC-BM1214-CMP-LS-17,cell_2299,CMP
singles-20160617-scATAC-BM1214-CMP-LS-18,cell_2300,CMP
singles-20160617-scATAC-BM1214-CMP-LS-19,cell_2301,CMP
singles-20160617-scATAC-BM1214-CMP-LS-20,cell_2302,CMP
singles-20160617-scATAC-BM1214-CMP-LS-21,cell_2303,CMP
singles-20160617-scATAC-BM1214-CMP-LS-22,cell_2304,CMP
singles-20160617-scATAC-BM1214-CMP-LS-23,cell_2305,CMP
singles-20160617-scATAC-BM1214-CMP-LS-24,cell_2306,CMP
singles-20160617-scATAC-BM1214-CMP-LS-25,cell_2307,CMP
singles-20160617-scATAC-BM1214-CMP-LS-26,cell_2308,CMP
singles-20160617-scATAC-BM1214-CMP-LS-27,cell_2309,CMP
singles-20160617-scATAC-BM1214-CMP-LS-28,cell_2310,CMP
singles-20160617-scATAC-BM1214-CMP-LS-29,cell_2311,CMP
singles-20160617-scATAC-BM1214-CMP-LS-30,cell_2312,CMP
singles-20160617-scATAC-BM1214-CMP-LS-31,cell_2313,CMP
singles-20160617-scATAC-BM1214-CMP-LS-32,cell_2314,CMP
singles-20160617-scATAC-BM1214-CMP-LS-33,cell_2315,CMP
